,location,loc_province,loc_pulau,education_level_max
39,BEKASI,6147304.742647059,7326619.856529598,11466979.966611018
40,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
41,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
42,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
43,TANGERANG,6509462.142857143,6509462.142857143,6802415.919704551
44,SIDOARJO,5281078.357615894,7326619.856529598,6802415.919704551
45,KARAWANG,6147304.742647059,7326619.856529598,6974653.64877161
46,SUMATERA UTARA,7616092.593582888,7206423.31372549,6974653.64877161
47,BEKASI,6147304.742647059,7326619.856529598,11466979.966611018
48,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
49,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
50,DKI JAKARTA,8227419.464774282,7326619.856529598,11466979.966611018
51,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
52,TANGERANG,6509462.142857143,6509462.142857143,6802415.919704551
53,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
54,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
55,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
56,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
57,JAWA TIMUR,5281078.357615894,7326619.856529598,6802415.919704551
58,BOGOR,6147304.742647059,7326619.856529598,6802415.919704551
59,MAKASSAR,5091700.533333333,5901028.0,6974653.64877161
60,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
61,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
62,TABALONG,5879255.319148936,6000208.808290156,3788580.486935867
63,BALI,7955276.255506608,7955276.255506608,6974653.64877161
64,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
65,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
66,BATAM,8014655.172413793,8014655.172413793,3788580.486935867
67,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
68,KUTA,7955276.255506608,7955276.255506608,6802415.919704551
69,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
70,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
71,SERANG,6509462.142857143,6509462.142857143,11466979.966611018
72,TEGAL,5119689.802955665,7326619.856529598,6974653.64877161
73,MEDAN,7616092.593582888,7206423.31372549,11466979.966611018
74,BALIKPAPAN,6816468.518518519,6000208.808290156,6802415.919704551
75,BEKASI,6147304.742647059,7326619.856529598,6802415.919704551
76,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
77,PURWAKARTA,6509462.142857143,6509462.142857143,6802415.919704551
78,DKI JAKARTA,8227419.464774282,7326619.856529598,3788580.486935867
79,JAWA BARAT,6147304.742647059,7326619.856529598,6802415.919704551
80,CIKUPA,6509462.142857143,6509462.142857143,6802415.919704551
81,TANGERANG,6509462.142857143,6509462.142857143,6802415.919704551
82,BOGOR,6147304.742647059,7326619.856529598,6802415.919704551
83,BEKASI,6147304.742647059,7326619.856529598,6802415.919704551
84,TANGERANG,6509462.142857143,6509462.142857143,6802415.919704551
85,SURABAYA,5281078.357615894,7326619.856529598,6802415.919704551
86,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
87,YOGYAKARTA,4791679.339622642,4791679.339622642,6802415.919704551
88,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
89,CIREBON,6147304.742647059,7326619.856529598,6802415.919704551
90,CIKARANG,6509462.142857143,6509462.142857143,3788580.486935867
91,JAWA TIMUR,5281078.357615894,7326619.856529598,6802415.919704551
92,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
93,BANTEN,6509462.142857143,6509462.142857143,6802415.919704551
94,SEMARANG,5119689.802955665,7326619.856529598,6802415.919704551
95,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
96,KALIMANTAN SELATAN,5879255.319148936,6000208.808290156,11466979.966611018
97,BATAM,8014655.172413793,8014655.172413793,6974653.64877161
98,MEDAN,7616092.593582888,7206423.31372549,3788580.486935867
99,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
100,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
101,DKI JAKARTA,8227419.464774282,7326619.856529598,11466979.966611018
102,PALANGKARAYA,6397777.777777778,6000208.808290156,6802415.919704551
103,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
104,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
105,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
106,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
107,ACEH,9222500.0,9222500.0,6802415.919704551
108,DKI JAKARTA,8227419.464774282,7326619.856529598,11466979.966611018
109,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
110,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
111,BANTEN,6509462.142857143,6509462.142857143,6802415.919704551
112,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
113,BANDUNG,5281078.357615894,7326619.856529598,6974653.64877161
114,BANDUNG,5281078.357615894,7326619.856529598,6802415.919704551
115,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
116,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
117,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
118,BANTEN,6509462.142857143,6509462.142857143,6974653.64877161
119,BANDUNG,5281078.357615894,7326619.856529598,6802415.919704551
120,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
121,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
122,JAWA BARAT,6147304.742647059,7326619.856529598,11466979.966611018
123,TANGERANG,6509462.142857143,6509462.142857143,6802415.919704551
124,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
125,YOGYAKARTA,4791679.339622642,4791679.339622642,6802415.919704551
126,SUMATERA SELATAN,5834890.172413793,7206423.31372549,6802415.919704551
127,MEDAN,7616092.593582888,7206423.31372549,6974653.64877161
128,SULAWESI SELATAN,5091700.533333333,5901028.0,6802415.919704551
129,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
130,SEMARANG,5119689.802955665,7326619.856529598,6802415.919704551
131,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
132,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
133,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
134,DKI JAKARTA,8227419.464774282,7326619.856529598,11466979.966611018
135,PANDEGLANG,6509462.142857143,6509462.142857143,6802415.919704551
136,PURWOKERTO,5281078.357615894,7326619.856529598,6802415.919704551
137,ACEH,9222500.0,9222500.0,6802415.919704551
138,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
139,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
140,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
141,JAWA TENGAH,5119689.802955665,7326619.856529598,6802415.919704551
142,DEPOK,6147304.742647059,7326619.856529598,6802415.919704551
143,BOGOR,6147304.742647059,7326619.856529598,6974653.64877161
144,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
145,YOGYAKARTA,4791679.339622642,4791679.339622642,3788580.486935867
146,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
147,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
148,BANTEN,6509462.142857143,6509462.142857143,6974653.64877161
149,CILEGON,6509462.142857143,6509462.142857143,6802415.919704551
150,BANDUNG,5281078.357615894,7326619.856529598,6974653.64877161
151,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
152,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
153,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
154,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
155,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
156,JAWA TIMUR,5281078.357615894,7326619.856529598,3788580.486935867
157,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
158,JAWA TIMUR,5281078.357615894,7326619.856529598,6974653.64877161
159,YOGYAKARTA,4791679.339622642,4791679.339622642,3788580.486935867
160,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
161,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
162,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
163,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
164,DKI JAKARTA,8227419.464774282,7326619.856529598,11466979.966611018
165,BANDUNG,5281078.357615894,7326619.856529598,6802415.919704551
166,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
167,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
168,DKI JAKARTA,8227419.464774282,7326619.856529598,11466979.966611018
169,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
170,SUMATERA UTARA,7616092.593582888,7206423.31372549,11466979.966611018
171,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
172,BEKASI,6147304.742647059,7326619.856529598,6802415.919704551
173,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
174,SURABAYA,5281078.357615894,7326619.856529598,6802415.919704551
175,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
176,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
177,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
178,CIKARANG,6509462.142857143,6509462.142857143,6974653.64877161
179,BEKASI,6147304.742647059,7326619.856529598,6802415.919704551
180,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
181,SEMARANG,5119689.802955665,7326619.856529598,6802415.919704551
182,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
183,TANGERANG,6509462.142857143,6509462.142857143,6802415.919704551
184,DKI JAKARTA,8227419.464774282,7326619.856529598,11466979.966611018
185,BANDUNG,5281078.357615894,7326619.856529598,6802415.919704551
186,MOJOKERTO,5281078.357615894,7326619.856529598,6802415.919704551
187,YOGYAKARTA,4791679.339622642,4791679.339622642,6974653.64877161
188,JAMBI,3910526.3157894737,3910526.3157894737,6802415.919704551
189,MADIUN,5281078.357615894,7326619.856529598,6802415.919704551
190,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
191,TANGERANG,6509462.142857143,6509462.142857143,6802415.919704551
192,PALEMBANG,5834890.172413793,7206423.31372549,6802415.919704551
193,JAWA TIMUR,5281078.357615894,7326619.856529598,6974653.64877161
194,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
195,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
196,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
197,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
198,BANDUNG,5281078.357615894,7326619.856529598,6802415.919704551
199,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
200,GRESIK,5281078.357615894,7326619.856529598,3788580.486935867
201,DKI JAKARTA,8227419.464774282,7326619.856529598,3788580.486935867
202,KALIMANTAN BARAT,5424233.766233766,6000208.808290156,6802415.919704551
203,GRESIK,5281078.357615894,7326619.856529598,6802415.919704551
204,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
205,JAWA TIMUR,5281078.357615894,7326619.856529598,6974653.64877161
206,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
207,CIKARANG,6509462.142857143,6509462.142857143,6802415.919704551
208,SUMATERA UTARA,7616092.593582888,7206423.31372549,11466979.966611018
209,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
210,CIKARANG,6509462.142857143,6509462.142857143,6802415.919704551
211,BALI,7955276.255506608,7955276.255506608,6802415.919704551
212,MEDAN,7616092.593582888,7206423.31372549,3788580.486935867
213,JAWA BARAT,6147304.742647059,7326619.856529598,6974653.64877161
214,TARAKAN,6396666.666666667,6000208.808290156,6802415.919704551
215,DKI JAKARTA,8227419.464774282,7326619.856529598,3788580.486935867
216,JAWA TIMUR,5281078.357615894,7326619.856529598,6802415.919704551
217,MOJOKERTO,5281078.357615894,7326619.856529598,6974653.64877161
218,DKI JAKARTA,8227419.464774282,7326619.856529598,11466979.966611018
219,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
220,BANDAR LAMPUNG,4265999.047619048,4265999.047619048,6802415.919704551
221,JAWA TENGAH,5119689.802955665,7326619.856529598,11466979.966611018
222,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
223,PALEMBANG,5834890.172413793,7206423.31372549,6802415.919704551
224,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
225,BANDUNG,5281078.357615894,7326619.856529598,6802415.919704551
226,RIAU,5923152.173913044,5923152.173913044,6802415.919704551
227,PASURUAN,5281078.357615894,7326619.856529598,6802415.919704551
228,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
229,DKI JAKARTA,8227419.464774282,7326619.856529598,3788580.486935867
230,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
231,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
232,BANDUNG,5281078.357615894,7326619.856529598,6802415.919704551
233,DKI JAKARTA,8227419.464774282,7326619.856529598,11466979.966611018
234,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
235,DKI JAKARTA,8227419.464774282,7326619.856529598,3788580.486935867
236,DKI JAKARTA,8227419.464774282,7326619.856529598,11466979.966611018
237,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
238,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
239,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
240,DKI JAKARTA,8227419.464774282,7326619.856529598,11466979.966611018
241,BEKASI,6147304.742647059,7326619.856529598,6974653.64877161
242,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
243,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
244,SIDOARJO,5281078.357615894,7326619.856529598,6802415.919704551
245,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
246,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
247,MEDAN,7616092.593582888,7206423.31372549,6802415.919704551
248,CIKARANG,6509462.142857143,6509462.142857143,6802415.919704551
249,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
250,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
251,PONOROGO,5281078.357615894,7326619.856529598,6802415.919704551
252,SIDOARJO,5281078.357615894,7326619.856529598,6974653.64877161
253,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
254,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
255,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
256,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
257,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
258,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
259,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
260,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
261,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
262,SURABAYA,5281078.357615894,7326619.856529598,6802415.919704551
263,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
264,DKI JAKARTA,8227419.464774282,7326619.856529598,11466979.966611018
265,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
266,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
267,TANGERANG,6509462.142857143,6509462.142857143,3788580.486935867
268,BEKASI,6147304.742647059,7326619.856529598,6802415.919704551
269,BANJARMASIN,5879255.319148936,6000208.808290156,6802415.919704551
270,KALIMANTAN SELATAN,5879255.319148936,6000208.808290156,11466979.966611018
271,JAWA TIMUR,5281078.357615894,7326619.856529598,6974653.64877161
272,BANDUNG,5281078.357615894,7326619.856529598,6802415.919704551
273,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
274,PALEMBANG,5834890.172413793,7206423.31372549,6974653.64877161
275,MEDAN,7616092.593582888,7206423.31372549,6802415.919704551
276,DKI JAKARTA,8227419.464774282,7326619.856529598,11466979.966611018
277,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
278,DKI JAKARTA,8227419.464774282,7326619.856529598,11466979.966611018
279,BALIKPAPAN,6816468.518518519,6000208.808290156,6802415.919704551
280,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
281,SURABAYA,5281078.357615894,7326619.856529598,6802415.919704551
282,BANTEN,6509462.142857143,6509462.142857143,6802415.919704551
283,DKI JAKARTA,8227419.464774282,7326619.856529598,11466979.966611018
284,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
285,BOGOR,6147304.742647059,7326619.856529598,6802415.919704551
286,DENPASAR,7955276.255506608,7955276.255506608,6974653.64877161
287,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
288,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
289,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
290,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
291,MALANG,5281078.357615894,7326619.856529598,3788580.486935867
292,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
293,TANGERANG,6509462.142857143,6509462.142857143,6974653.64877161
294,CIKARANG,6509462.142857143,6509462.142857143,3788580.486935867
295,BANDUNG,5281078.357615894,7326619.856529598,6802415.919704551
296,BANYUWANGI,5281078.357615894,7326619.856529598,6802415.919704551
297,SUMATERA UTARA,7616092.593582888,7206423.31372549,6802415.919704551
298,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
299,SURABAYA,5281078.357615894,7326619.856529598,6802415.919704551
300,BALIKPAPAN,6816468.518518519,6000208.808290156,6802415.919704551
301,JAWA BARAT,6147304.742647059,7326619.856529598,6974653.64877161
302,PALEMBANG,5834890.172413793,7206423.31372549,6802415.919704551
303,PEKALONGAN,4265999.047619048,4265999.047619048,6802415.919704551
304,JEMBER,5281078.357615894,7326619.856529598,6802415.919704551
305,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
306,BATAM,8014655.172413793,8014655.172413793,6802415.919704551
307,SEMARANG,5119689.802955665,7326619.856529598,11466979.966611018
308,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
309,PALEMBANG,5834890.172413793,7206423.31372549,6802415.919704551
310,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
311,SEMARANG,5119689.802955665,7326619.856529598,6802415.919704551
312,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
313,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
314,BATAM,8014655.172413793,8014655.172413793,6974653.64877161
315,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
316,DKI JAKARTA,8227419.464774282,7326619.856529598,11466979.966611018
317,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
318,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
319,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
320,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
321,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
322,CILEUNGSI,6147304.742647059,7326619.856529598,6802415.919704551
323,MOJOKERTO,5281078.357615894,7326619.856529598,6802415.919704551
324,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
325,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
326,SEMARANG,5119689.802955665,7326619.856529598,6802415.919704551
327,MEDAN,7616092.593582888,7206423.31372549,6802415.919704551
328,SLEMAN,4791679.339622642,4791679.339622642,6802415.919704551
329,BANJARMASIN,5879255.319148936,6000208.808290156,6802415.919704551
330,JAMBI,3910526.3157894737,3910526.3157894737,3788580.486935867
331,SULAWESI SELATAN,5091700.533333333,5901028.0,6802415.919704551
332,PEKANBARU,5923152.173913044,5923152.173913044,3788580.486935867
333,SULAWESI TENGAH,7248029.310344827,5901028.0,6802415.919704551
334,BOGOR,6147304.742647059,7326619.856529598,11466979.966611018
335,MAKASSAR,5091700.533333333,5901028.0,6802415.919704551
336,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
337,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
338,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
339,SUMATERA SELATAN,5834890.172413793,7206423.31372549,6802415.919704551
340,SUMATERA SELATAN,5834890.172413793,7206423.31372549,3788580.486935867
341,KALIMANTAN SELATAN,5879255.319148936,6000208.808290156,6802415.919704551
342,SIDOARJO,5281078.357615894,7326619.856529598,6802415.919704551
343,JAWA TIMUR,5281078.357615894,7326619.856529598,6802415.919704551
344,SURABAYA,5281078.357615894,7326619.856529598,6802415.919704551
345,JAWA BARAT,6147304.742647059,7326619.856529598,6802415.919704551
346,PEMATANGSIANTAR,7616092.593582888,7206423.31372549,6802415.919704551
347,CIKARANG,6509462.142857143,6509462.142857143,6802415.919704551
348,GUNUNG MAS,4265999.047619048,4265999.047619048,11466979.966611018
349,CIREBON,6147304.742647059,7326619.856529598,6802415.919704551
350,JAWA BARAT,6147304.742647059,7326619.856529598,6974653.64877161
351,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
352,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
353,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
354,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
355,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
356,JAWA BARAT,6147304.742647059,7326619.856529598,3788580.486935867
357,CILACAP,5119689.802955665,7326619.856529598,6802415.919704551
358,MAKASSAR,5091700.533333333,5901028.0,6974653.64877161
359,JAWA TIMUR,5281078.357615894,7326619.856529598,6802415.919704551
360,PURBALINGGA,5119689.802955665,7326619.856529598,6802415.919704551
361,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
362,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
363,CILEGON,6509462.142857143,6509462.142857143,6802415.919704551
364,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
365,YOGYAKARTA,4791679.339622642,4791679.339622642,6802415.919704551
366,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
367,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
368,DKI JAKARTA,8227419.464774282,7326619.856529598,11466979.966611018
369,DKI JAKARTA,8227419.464774282,7326619.856529598,6974653.64877161
370,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
371,JAWA TENGAH,5119689.802955665,7326619.856529598,11466979.966611018
372,BANDUNG,5281078.357615894,7326619.856529598,6802415.919704551
373,PADANG,5281078.357615894,7326619.856529598,6802415.919704551
374,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
375,DENPASAR,7955276.255506608,7955276.255506608,6802415.919704551
376,MAKASSAR,5091700.533333333,5901028.0,6802415.919704551
377,KUDUS,5119689.802955665,7326619.856529598,6802415.919704551
378,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
379,DKI JAKARTA,8227419.464774282,7326619.856529598,11466979.966611018
380,SURABAYA,5281078.357615894,7326619.856529598,11466979.966611018
381,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
382,DKI JAKARTA,8227419.464774282,7326619.856529598,11466979.966611018
383,SURAKARTA,5119689.802955665,7326619.856529598,3788580.486935867
384,DKI JAKARTA,8227419.464774282,7326619.856529598,11466979.966611018
385,CIREBON,6147304.742647059,7326619.856529598,6802415.919704551
386,BALI,7955276.255506608,7955276.255506608,6974653.64877161
387,BEKASI,6147304.742647059,7326619.856529598,6802415.919704551
388,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
389,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
390,SURABAYA,5281078.357615894,7326619.856529598,6802415.919704551
391,TANGERANG,6509462.142857143,6509462.142857143,11466979.966611018
392,YOGYAKARTA,4791679.339622642,4791679.339622642,6802415.919704551
393,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
394,BANDUNG,5281078.357615894,7326619.856529598,11466979.966611018
395,MEDAN,7616092.593582888,7206423.31372549,6802415.919704551
396,CIKARANG,6509462.142857143,6509462.142857143,6802415.919704551
397,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
398,DKI JAKARTA,8227419.464774282,7326619.856529598,6802415.919704551
399,TANGERANG,6509462.142857143,6509462.142857143,6802415.919704551
400,BANDUNG,5281078.357615894,7326619.856529598,6802415.919704551
401,BALI,7955276.255506608,7955276.255506608,6802415.919704551
